,Words,1470-1494 Similarities,1470-1494 Z-Scores,1495-1519 Similarities,1495-1519 Z-Scores,1520-1544 Similarities,1520-1544 Z-Scores,1545-1569 Similarities,1545-1569 Z-Scores,1570-1594 Similarities,1570-1594 Z-Scores,1595-1619 Similarities,1595-1619 Z-Scores,1620-1644 Similarities,1620-1644 Z-Scores,1645-1669 Similarities,1645-1669 Z-Scores,1670-1700 Similarities,1670-1700 Z-Scores
20,necessary,-0.8321862816810608,-2.166472289818901,-0.8406559228897095,-2.128235262616717,-0.4392978549003601,-1.963064507992932,-0.21950718760490417,-1.417692208217207,-0.26670920848846436,-1.9006935489961396,-0.2638328969478607,-1.9863184790312005,-0.19304856657981873,-1.5429030567898774,-0.3338474929332733,-2.386942638840274,-0.21869416534900665,-1.693301829405139
21,needing,,,,,,,0.10527388006448746,0.826544552134511,0.15783677995204926,0.9486967438197648,0.041898421943187714,-0.01532220849169176,0.1415068656206131,0.6161200990498734,0.2809194326400757,1.3392426757118048,0.17706702649593353,0.7017165682671076
22,meed,-0.24773934483528137,-0.2333786300593755,-0.13319751620292664,0.30001163965585276,-0.11166476458311081,-0.14927239347492374,0.11732909083366394,0.9098460430622825,-0.10659383982419968,-0.8260604359181636,0.0018678647466003895,-0.273392200235682,0.11534516513347626,0.44728793639040365,0.138719841837883,0.477351762357478,0.13597989082336426,0.4530705466985904
23,bowgeor,,,,,,,,,,,,,,,,,,
24,bougeor,,,,,,,,,,,-0.056698452681303024,-0.6509589920460008,,,,,,
25,budge,-0.049578871577978134,0.42204914330873167,,,,,,,0.12762154638767242,0.7459036529469627,0.07701445370912552,0.21106469847571496,0.03259168565273285,-0.08675414222751486,0.20077942311763763,0.8535032610351382,0.18423022329807281,0.745065912469589
26,wastour,-0.031184304505586624,0.48289028856918553,-0.5710503458976746,-1.202853782972836,-0.39949730038642883,-1.7427267763526064,0.037025824189186096,0.3549505737139392,,,,,,,,,,
27,waster,0.035565998405218124,0.7036709603617274,-0.6001145243644714,-1.3026122997450351,-0.4672549068927765,-2.1178360556406792,-0.08358479291200638,-0.4784686355077543,-0.06838573515415192,-0.569622251320919,0.08335060626268387,0.25191276434587645,-0.11905227601528168,-1.0653747030449887,0.17104500532150269,0.6732789413462047,-0.01827525906264782,-0.48043159935679525
28,wasture,,,,,,,,,,,,,,,-0.25482630729675293,-1.907984566750293,,
29,wastoure,,,,,,,,,,,,,,,,,,
30,speculation,,,,,-0.10191978514194489,-0.09532373142307884,-0.10228483378887177,-0.6076858939430932,-0.1557278335094452,-1.1558290086192886,0.021352222189307213,-0.1477799600741841,0.12084179371595383,0.48275993070406936,0.16271261870861053,0.6227752214149921,0.16416361927986145,0.6236293320449727
31,debt,,,-0.15202297270298004,0.23539602975136772,-0.24035540223121643,-0.8617097835822785,-0.2368200272321701,-1.5373239077999405,-0.2897273600101471,-2.055182577959461,-0.2962610125541687,-2.1953768612489357,-0.3537074029445648,-2.579700294307005,-0.2837437391281128,-2.083257024233398,-0.26641929149627686,-1.9821188167936468
32,debitum,-0.6548409461975098,-1.579891845987024,-0.6349477171897888,-1.4221721095866733,-0.07553213834762573,0.05075951563196578,0.13010700047016144,0.9981413822347963,0.15772923827171326,0.9479749651942073,0.2415042221546173,1.2715014287523012,0.26681533455848694,1.424786944721096,0.17926394939422607,0.7230950707294579,0.17879879474639893,0.7121966681501561
33,expense,-0.7122039198875427,-1.7696233575312714,-0.41889071464538574,-0.6805882338648879,-0.08271042257547379,0.0110201983498423,-0.21224345266819,-1.3674998091361774,-0.15692144632339478,-1.163840081289983,0.024009762331843376,-0.13064726418700073,0.13656000792980194,0.5841960013514489,-0.07335184514522552,-0.8080433569908249,-0.07185889780521393,-0.8047024052041521
34,gain,-0.4308164417743683,-0.8389172222370184,,,-0.2452896386384964,-0.8890259471542364,-0.2706984281539917,-1.7714236146464026,-0.18250462412834167,-1.3355445855877854,-0.04400917887687683,-0.5691534660858306,-0.09932250529527664,-0.9380504161137271,-0.2733052372932434,-2.0199878556672135,-0.19582174718379974,-1.5548853716176703
35,miser,-0.602755606174469,-1.4076164276088323,-0.6049851179122925,-1.3193298955541148,-0.04712945222854614,0.20799811465147514,-0.05814020335674286,-0.30264655436935495,0.20398461818695068,1.2584233832916891,0.19125686585903168,0.9475655224725703,0.26673853397369385,1.4242913191087432,0.2509586811065674,1.1576465166910763,0.27213403582572937,1.277031280897517
36,fortune,-0.8783808946609497,-2.3192637715373383,-0.8073782324790955,-2.014014485973752,-0.3980430066585541,-1.7346757382439157,-0.2540168762207031,-1.656154112218042,-0.2523652911186218,-1.8044226619134096,-0.11915209144353867,-1.0535866637169395,-0.20372521877288818,-1.6118038639298862,-0.1945204734802246,-1.5424627681606984,-0.12513162195682526,-1.1270916567688114
37,fortuna,-0.5122508406639099,-1.1082664313017248,-0.46532759070396423,-0.8399759793134784,-0.0656033530831337,0.10572573532009391,0.12200652807950974,0.9421671284220087,0.25635549426078796,1.6099166725327574,0.38395193219184875,2.1898368686695004,0.2931533753871918,1.594757103790458,0.2378067821264267,1.0779310817844765,0.3093504309654236,1.5022528359446083
38,use,-0.2986922562122345,-0.4019084720680571,-0.4347359836101532,-0.7349747884887373,-0.37359532713890076,-1.599332240772177,-0.20696522295475006,-1.331027248597209,0.09418603032827377,0.5214972576706829,-0.2897394001483917,-2.153333168190877,-0.2717006206512451,-2.0504769583035607,-0.3502213954925537,-2.4861870723325206,-0.2370070368051529,-1.8041253890553774
39,usury,,,,,-0.06103755161166191,0.131002225852205,-0.08901765197515488,-0.5160096846545575,0.09716760367155075,0.5415084375498268,0.043098125606775284,-0.007587929075174579,-0.15414251387119293,-1.2918263722842103,-0.21949432790279388,-1.6938326706816438,-0.2681151330471039,-1.9923814999406064
40,interest,,,-0.462703675031662,-0.8309697747891279,-0.12795262038707733,-0.23944272514390866,-0.20051191747188568,-1.2864349160011288,-0.38935232162475586,-2.7238272154687344,-0.31852251291275024,-2.3388928554314434,-0.267303466796875,-2.022100324485559,-0.46690163016319275,-3.1934017236782233,-0.4588735103607178,-3.146789341311803
41,interesse,-0.12066786736249924,0.1869179819215492,-0.6250784993171692,-1.3882974711619556,-0.3123812675476074,-1.2604483433098888,-0.072161003947258,-0.3995302684373982,0.1733848750591278,1.0530496112973846,0.20339395105838776,1.025811185199967,0.2142978012561798,1.085869804020369,0.07509056478738785,0.09168612574243142,0.2420327067375183,1.094867798357525
42,consumptioner,,,,,,,,,,,,,,,-0.20486392080783844,-1.6051557985283498,0.015520983375608921,-0.2759076993895396
